Comprensión de Textos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N°;RED;INSTITUCION_EDUCATIVA;GRADO;SECCION;TURNO;NRO_DE_ESTUDIANTES_MATRICULADOS;NRO_DE_ESTUDIANTES_EVALUADOS;P 1;P 2;P 3;P 4;P 5;P 6;P 7;P 8;P 9;P 10;P 11;P 12;P 13;P 14;P 15;P 16;P 17;P 18;P 19;P 20;;CAPACIDADES;;;;%_POR_CAPACIDAD;;;;PROMEDIO_X_SECCION
;;;;;;;;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;;;;;;;;;;
;;;;;;;BASE;30%;30%;30%;30%;30%;30%;30%;30%;30%;30%;30%;30%;30%;30%;30%;30%;30%;30%;30%;30%;;;;;;;;;;
;;;;;;;DATO;47%;38%;46%;39%;78%;68%;76%;37%;25%;69%;66%;55%;47%;50%;31%;0%;0%;0%;0%;0%;;Matriculados;5891;;;;;;;
;;;;;;;VACIO;53%;62%;54%;61%;22%;32%;24%;63%;75%;31%;34%;45%;53%;50%;69%;100%;100%;100%;100%;100%;;Evaluados;5654;;;;;;;
;;;;;;;TAPA;5%;5%;5%;5%;5%;5%;5%;5%;5%;5%;5%;5%;5%;5%;5%;5%;5%;5%;5%;5%;;No Evaluados;237;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;C1;C2;C3;C4;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;BB;10%;10%;10%;10%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;B;25%;25%;25%;25%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;BB;10%;10%;10%;10%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;D;44%;182%;119%;87%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;V;56%;-82%;-19%;13%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;T;10%;10%;10%;10%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
